case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
credit-public-ares-2024,Ares Capital 2024 Form 10-K,U.S. SEC / Ares Capital,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000012/arcc-20241231.htm,2024-12-31,05_Private_Credit/sources/snapshots/credit-public-ares-2024.json,a7bf17f1ee570a5e51207899412527f387b4acde6fad5f5e7669f66dad75f7c5,frozen
credit-public-ares-2024,Ares Capital second-quarter 2025 Form 10-Q,U.S. SEC / Ares Capital,https://www.sec.gov/Archives/edgar/data/1287750/000128775025000050/arcc-20250630.htm,2024-12-31,05_Private_Credit/sources/snapshots/credit-public-ares-2024.json,a7bf17f1ee570a5e51207899412527f387b4acde6fad5f5e7669f66dad75f7c5,frozen
credit-public-yellow-2022-stress,Yellow Corporation 2022 annual report,U.S. SEC / Yellow Corporation,https://www.sec.gov/Archives/edgar/data/716006/000119312522064324/d186462dars.pdf,2022-12-31,05_Private_Credit/sources/snapshots/credit-public-yellow-2022-stress.json,a38b55f9bc3b91b767854e1c27d58287c3595577fdc7e234d76a1bb27d3fb977,frozen
credit-public-yellow-2022-stress,Yellow Corporation bankruptcy Form 8-K filing index,U.S. SEC / Yellow Corporation,https://www.sec.gov/Archives/edgar/data/716006/0001193125-23-204370-index.htm,2022-12-31,05_Private_Credit/sources/snapshots/credit-public-yellow-2022-stress.json,a38b55f9bc3b91b767854e1c27d58287c3595577fdc7e234d76a1bb27d3fb977,frozen
credit-public-ares-capital-2024-companyfacts,Ares Capital SEC EDGAR XBRL companyfacts (Q1 2026 10-Q),U.S. SEC / Ares Capital,https://data.sec.gov/api/xbrl/companyfacts/CIK0001287750.json,2026-03-31,tools/data_fabric/out/ARCC_facts_selected.json,13e6fd8694d794aabc56e505824574f29e7eb127b73008fd3584391ebb310b97,frozen
credit-public-ares-capital-2025-companyfacts,Ares Capital SEC EDGAR XBRL companyfacts (FY2025 10-K prefer-annual),U.S. SEC / Ares Capital,https://data.sec.gov/api/xbrl/companyfacts/CIK0001287750.json,2025-12-31,tools/data_fabric/out/ARCC_facts_selected.json,15af53308c5f7fbe001d6fe2ac608915c82a1bcadaaeedd117d49e858edc9514,active
