case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
distressed-public-hertz-2021-reorganization,Hertz 2021 Form 10-K,U.S. SEC / Hertz,https://www.sec.gov/Archives/edgar/data/1657853/000165785322000012/htz-20211231.htm,2021-06-30,24_Distressed_Restructuring/sources/snapshots/distressed-public-hertz-2021-reorganization.json,fcb0669ea127a18435a92a0fa1b446ff69664e64607e9a100c202aa61ab73519,frozen
distressed-public-bbby-2022-liquidity,Bed Bath & Beyond Q2 2022 Form 10-Q,U.S. SEC / Bed Bath & Beyond,https://www.sec.gov/Archives/edgar/data/886158/000088615822000150/bbby-20220827.htm,2022-08-27,24_Distressed_Restructuring/sources/snapshots/distressed-public-bbby-2022-liquidity.json,27f118532e350a338e29b5e59fe7323165bb0fb321865af5b8a6aebabf69b048,frozen
distressed-public-bbby-2022-liquidity,Bed Bath & Beyond 2022 Form 10-K and Chapter 11 disclosure,U.S. SEC / Bed Bath & Beyond,https://www.sec.gov/Archives/edgar/data/886158/000088615823000059/bbby-20230225.htm,2022-08-27,24_Distressed_Restructuring/sources/snapshots/distressed-public-bbby-2022-liquidity.json,27f118532e350a338e29b5e59fe7323165bb0fb321865af5b8a6aebabf69b048,frozen
