case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
am-public-blackrock-2023,BlackRock 2023 Form 10-K,U.S. SEC / BlackRock,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,2023-12-31,08_Asset_Management/sources/snapshots/am-public-blackrock-2023.json,c7510ff7369f25edb138fe1a3f09c349ccd84c80c1abf33c52311e854d9a0304,frozen
am-public-blackrock-2022-stress,BlackRock 2022 Form 10-K,U.S. SEC / BlackRock,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,2022-12-31,08_Asset_Management/sources/snapshots/am-public-blackrock-2022-stress.json,026e6d4ca200661b5ddafa9bcdee4ffac5e10757dab4ce7fdef93dfba7c3c6f4,frozen
am-public-blackrock-2022-stress,BlackRock 2023 Form 10-K,U.S. SEC / BlackRock,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,2022-12-31,08_Asset_Management/sources/snapshots/am-public-blackrock-2022-stress.json,026e6d4ca200661b5ddafa9bcdee4ffac5e10757dab4ce7fdef93dfba7c3c6f4,frozen
