case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
commodities-public-wti-2023,EIA Cushing stocks and WTI annual prices,U.S. Energy Information Administration,https://www.eia.gov/dnav/pet/PET_PRI_SPT_S1_A.htm,2023-12-31,15_Commodities/sources/snapshots/commodities-public-wti-2023.json,68c92af0eb44512cfc13579cd292ec034037dd31e2435bc345d24ce6c7ca09c9,frozen
commodities-public-wti-april-2020,EIA April 2020 negative WTI and storage analysis,U.S. Energy Information Administration,https://www.eia.gov/todayinenergy/detail.php?id=43495,2020-04-20,15_Commodities/sources/snapshots/commodities-public-wti-april-2020.json,da94912a719b505a4e1c78b5365171eafa25931568e27c6288bd4d71becbb24e,frozen
commodities-public-wti-april-2020,EIA July 2020 oil-price recovery,U.S. Energy Information Administration,https://www.eia.gov/todayinenergy/detail.php?id=46336,2020-04-20,15_Commodities/sources/snapshots/commodities-public-wti-april-2020.json,da94912a719b505a4e1c78b5365171eafa25931568e27c6288bd4d71becbb24e,frozen
