case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
merchant-alleghany-2021,Alleghany 2021 Form 10-K,U.S. SEC,https://www.sec.gov/Archives/edgar/data/775368/000077536822000010/y-20211231.htm,2022-02-24,04_Merchant_Banking/sources/snapshots/merchant-alleghany-2021.json,f801875491790a4915e792ccfb074b644babd5a5715fad117486dee76622eae7,frozen
merchant-wework-2022,WeWork 2022 Form 10-K,U.S. SEC,https://www.sec.gov/Archives/edgar/data/1813756/000181375623000019/we-20221231.htm,2023-03-29,04_Merchant_Banking/sources/snapshots/merchant-wework-2022.json,7451e34f8d4135c37ccd0f921b029ce5573e2010346fae060524cd47684e2a38,frozen
