source_name,document_or_dataset,publication_date,as_of_date,retrieval_date,unit_currency,transformation,workbook_destination,license_or_restriction,checksum_or_snapshot
Alpha Vantage MCP (normalized GAAP/IFRS fundamentals),O Assets (AV field: totalAssets),,2025-12-31,2026-08-05,USD,"Alpha Vantage normalized annual fact, mapped to equivalent SEC us-gaap concept name",Assumptions / historicals (any domain covering a public issuer),Alpha Vantage API terms of use; underlying data derived from public SEC filings,tools/data_fabric/out/O_alphavantage_balance_sheet.json
Alpha Vantage MCP (normalized GAAP/IFRS fundamentals),O Liabilities (AV field: totalLiabilities),,2025-12-31,2026-08-05,USD,"Alpha Vantage normalized annual fact, mapped to equivalent SEC us-gaap concept name",Assumptions / historicals (any domain covering a public issuer),Alpha Vantage API terms of use; underlying data derived from public SEC filings,tools/data_fabric/out/O_alphavantage_balance_sheet.json
Alpha Vantage MCP (normalized GAAP/IFRS fundamentals),O StockholdersEquity (AV field: totalShareholderEquity),,2025-12-31,2026-08-05,USD,"Alpha Vantage normalized annual fact, mapped to equivalent SEC us-gaap concept name",Assumptions / historicals (any domain covering a public issuer),Alpha Vantage API terms of use; underlying data derived from public SEC filings,tools/data_fabric/out/O_alphavantage_balance_sheet.json
Alpha Vantage MCP (normalized GAAP/IFRS fundamentals),O CashAndCashEquivalentsAtCarryingValue (AV field: cashAndCashEquivalentsAtCarryingValue),,2025-12-31,2026-08-05,USD,"Alpha Vantage normalized annual fact, mapped to equivalent SEC us-gaap concept name",Assumptions / historicals (any domain covering a public issuer),Alpha Vantage API terms of use; underlying data derived from public SEC filings,tools/data_fabric/out/O_alphavantage_balance_sheet.json
Alpha Vantage MCP (normalized GAAP/IFRS fundamentals),O CommonStockSharesOutstanding (AV field: commonStockSharesOutstanding),,2025-12-31,2026-08-05,USD,"Alpha Vantage normalized annual fact, mapped to equivalent SEC us-gaap concept name",Assumptions / historicals (any domain covering a public issuer),Alpha Vantage API terms of use; underlying data derived from public SEC filings,tools/data_fabric/out/O_alphavantage_balance_sheet.json
