case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
fintech-public-visa-2023,Visa 2023 Form 10-K,U.S. SEC / Visa,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm,2023-09-30,23_Fintech_Payments/sources/snapshots/fintech-public-visa-2023.json,07b00e098f47eec4e91230f9639f27485e8adb13fb7bb820a5f5de12a82e5136,frozen
fintech-public-visa-2023,Visa 2024 Form 10-K,U.S. SEC / Visa,https://www.sec.gov/Archives/edgar/data/1403161/000140316124000058/v-20240930.htm,2023-09-30,23_Fintech_Payments/sources/snapshots/fintech-public-visa-2023.json,07b00e098f47eec4e91230f9639f27485e8adb13fb7bb820a5f5de12a82e5136,frozen
fintech-public-fis-worldpay-2023-stress,FIS 2023 Form 10-K and Worldpay disposal,U.S. SEC / FIS,https://www.sec.gov/Archives/edgar/data/1136893/000113689324000015/fis-20231231.htm,2023-12-31,23_Fintech_Payments/sources/snapshots/fintech-public-fis-worldpay-2023-stress.json,f2d4fe702c89385d527976de6b499907c21ce4e87130331479a183b6ba5b301f,frozen
