case_id,source_name,publisher,url,as_of,snapshot,snapshot_sha256,status
ib-public-microsoft-linkedin-2016,LinkedIn September 2016 Form 10-Q merger disclosure,U.S. SEC / LinkedIn,https://www.sec.gov/Archives/edgar/data/1271024/000127102416000059/a20160930-10qdocument.htm,2016-12-08,01_Investment_Banking/sources/snapshots/ib-public-microsoft-linkedin-2016.json,68558043eb73280c7224ab11e28cd840e6faee4df4c7c8c60812263f36202301,frozen
ib-public-microsoft-linkedin-2016,LinkedIn merger completion Form 8-K,U.S. SEC / LinkedIn,https://www.sec.gov/Archives/edgar/data/1271024/000110465916161289/a16-22816_18k.htm,2016-12-08,01_Investment_Banking/sources/snapshots/ib-public-microsoft-linkedin-2016.json,68558043eb73280c7224ab11e28cd840e6faee4df4c7c8c60812263f36202301,frozen
ib-public-hp-autonomy-2012-stress,Hewlett-Packard 2012 Form 10-K Autonomy impairment,U.S. SEC / Hewlett-Packard,https://www.sec.gov/Archives/edgar/data/47217/000104746912011417/a2211959z10-k.htm,2012-10-31,01_Investment_Banking/sources/snapshots/ib-public-hp-autonomy-2012-stress.json,0699ecbd28057d77e798a13005680ae41339f3b6218704c75b49670f852063fb,frozen
